,0,1,2,3,4,5
0,"sungshinwomen’suniversity,kr-universityofmichiganmedicineschool,us	universityofmichiganmedicineschool,us-ewhawomansuniversity,kr","universityofmichiganmedicineschool,us-ewhawomansuniversity,kr	ewhawomansuniversity,kr-chungbuknationaluniversity,kr",,,,
1,"koreauniversity,kr-cornelluniversity,us	cornelluniversity,us-donggukuniversity,kr","cornelluniversity,us-donggukuniversity,kr	donggukuniversity,kr-chungbuknationaluniversity,kr",,,,
2,"koreaadvancedinstituteofscienceandtechnology,kr-universitatfreiburg,de	universitatfreiburg,de-rutgersuniversity,us","universitatfreiburg,de-rutgersuniversity,us	rutgersuniversity,us-oakridgenationallaboratory,us","rutgersuniversity,us-oakridgenationallaboratory,us	oakridgenationallaboratory,us-chungbuknationaluniversity,kr",,,
3,"chung-anguniversity,kr-universityofcalifornia,us	universityofcalifornia,us-chungbuknationaluniversity,kr",,,,,
4,"pohanguniversityofscienceandtechnology,kr-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-harvarduniversity,us","pohanguniversityofscienceandtechnology,kr-harvarduniversity,us	harvarduniversity,us-pohanguniversityofscienceandtechnology,kr","harvarduniversity,us-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-nationalinstituteofagriculturalsciences,kr","pohanguniversityofscienceandtechnology,kr-nationalinstituteofagriculturalsciences,kr	nationalinstituteofagriculturalsciences,kr-chungbuknationaluniversity,kr",,
5,"universitysoutherncalifornia,us-universityofsoutherncalifornia,us	universityofsoutherncalifornia,us-chungbuknationaluniversity,kr",,,,,
6,"louisianastateuniversity,us-louisianastateuniversity,us	louisianastateuniversity,us-chungbuknationaluniversity,kr",,,,,
7,"cornelluniversity,us-davidz.rosensweiggenomicsresearchcenter,us	davidz.rosensweiggenomicsresearchcenter,us-chungbuknationaluniversity,kr",,,,,
8,"pohanguniversityofscienceandtechnology,kr-johnshopkinsuniversity,us	johnshopkinsuniversity,us-johnshopkinsuniversity,us","johnshopkinsuniversity,us-johnshopkinsuniversity,us	johnshopkinsuniversity,us-chungbuknationaluniversity,kr",,,,
9,"kyungheeuniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-chungbuknationaluniversity,kr",,,,,
10,"yaleuniversity,us-yaleuniversity,us	yaleuniversity,us-universityofcalifornia,us","yaleuniversity,us-universityofcalifornia,us	universityofcalifornia,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
11,"cornelluniversity,us-amgen,us	amgen,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
12,"johnshopkinsuniversity,us-johnshopkinsuniversity,us	johnshopkinsuniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
13,"pohanguniversityofscienceandtechnology,kr-universityofrochester,us	universityofrochester,us-koreauniversity,kr",,,,,
14,"michiganstateuniversity,us-harvarduniversity,us	harvarduniversity,us-pusannationaluniversity,kr",,,,,
15,"koreaadvancedinstituteofscienceandtechnology,kr-hanyanguniversity,kr	hanyanguniversity,kr-universityofsanfrancisco,us","hanyanguniversity,kr-universityofsanfrancisco,us	universityofsanfrancisco,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
16,"therockefelleruniversity,us-therockefelleruniversity,us	therockefelleruniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
17,"koreaadvancedinstituteofscienceandtechnology,kr-koreauniversity,kr	koreauniversity,kr-salkinstituteforbiologicalstudies,us","koreauniversity,kr-salkinstituteforbiologicalstudies,us	salkinstituteforbiologicalstudies,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
18,"seoulnationaluniversity,kr-scrippsresearch,us	scrippsresearch,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
19,"theuniversityoftexassouthwesternmedicalcenter,us-universityoftexassouthwesternmedicalcenter,us	universityoftexassouthwesternmedicalcenter,us-harvarduniversity,us","universityoftexassouthwesternmedicalcenter,us-harvarduniversity,us	harvarduniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
20,"bostonuniversity,us-stanforduniversity,us	stanforduniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
21,"universityofcalifornia,us-californiainstituteoftechnology,us	californiainstituteoftechnology,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
22,"seoulnationaluniversity,kr-theuniversityoftexassouthwesternmedicalcenter,us	theuniversityoftexassouthwesternmedicalcenter,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
23,"therockefelleruniversity,us-therockefelleruniversity,us	therockefelleruniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
24,"universityofwisconsin-madison,us-universityofwisconsin-madison,us	universityofwisconsin-madison,us-universityofcalifornia,us","universityofwisconsin-madison,us-universityofcalifornia,us	universityofcalifornia,us-pohanguniversityofscienceandtechnology,kr",,,,
25,"pohanguniversityofscienceandtechnology,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-johnshopkinsuniversity,us","seoulnationaluniversity,kr-johnshopkinsuniversity,us	johnshopkinsuniversity,us-universityofpennsylvania,us","johnshopkinsuniversity,us-universityofpennsylvania,us	universityofpennsylvania,us-koreaadvancedinstituteofscienceandtechnology,kr",,,
26,"dukeuniversity,us-dukeuniversity,us	dukeuniversity,us-universityofillinoisaturbana-champaign,us","dukeuniversity,us-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
27,"universityofmichigan,us-universityofmichigan,us	universityofmichigan,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
28,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-universityofpennsylvania,us","koreaadvancedinstituteofscienceandtechnology,kr-universityofpennsylvania,us	universityofpennsylvania,us-koreaadvancedinstituteofscienceandtechnology,kr","universityofpennsylvania,us-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr",,,
29,"johnshopkinsuniversity,us-johnshopkinsuniversity,us	johnshopkinsuniversity,us-universityofcalifornia,us","johnshopkinsuniversity,us-universityofcalifornia,us	universityofcalifornia,us-pohanguniversityofscienceandtechnology,kr",,,,
30,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofcalifornia,us","seoulnationaluniversity,kr-universityofcalifornia,us	universityofcalifornia,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
31,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-columbiauniversityinthecityofnewyork,us","koreaadvancedinstituteofscienceandtechnology,kr-columbiauniversityinthecityofnewyork,us	columbiauniversityinthecityofnewyork,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
32,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-northwesternuniversity,us","koreaadvancedinstituteofscienceandtechnology,kr-northwesternuniversity,us	northwesternuniversity,us-ulsannationalinstituteofscienceandtechnology,kr",,,,
33,"koreaadvancedinstituteofscienceandtechnology,kr-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-massachusettsinstituteoftechnology,us","pohanguniversityofscienceandtechnology,kr-massachusettsinstituteoftechnology,us	massachusettsinstituteoftechnology,us-gwangjuinstituteofscienceandtechnology,kr",,,,
34,"universityofcalifornia,us-universityofcalifornia,us	universityofcalifornia,us-theuniversityofarizona,us","universityofcalifornia,us-theuniversityofarizona,us	theuniversityofarizona,us-theuniversityofarizona,us","theuniversityofarizona,us-theuniversityofarizona,us	theuniversityofarizona,us-ajouuniversity,kr",,,
35,"universityofcalifornia,us-stanforduniversity,us	stanforduniversity,us-stanforduniversity,us","stanforduniversity,us-stanforduniversity,us	stanforduniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
36,"koreaadvancedinstituteofscienceandtechnology,kr-ludwigcancerresearch,us	ludwigcancerresearch,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
37,"koreaadvancedinstituteofscienceandtechnology,kr-harvarduniversity,us	harvarduniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
38,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofcalifornia,us","seoulnationaluniversity,kr-universityofcalifornia,us	universityofcalifornia,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
39,"pohanguniversityofscienceandtechnology,kr-pohanguniversityofscienceandtechnology,kr	pohanguniversityofscienceandtechnology,kr-massachusettsinstituteoftechnology,us","pohanguniversityofscienceandtechnology,kr-massachusettsinstituteoftechnology,us	massachusettsinstituteoftechnology,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,
40,"gyeongsangnationaluniversity,kr-gyeongsangnationaluniversity,kr	gyeongsangnationaluniversity,kr-dukeuniversity,us","gyeongsangnationaluniversity,kr-dukeuniversity,us	dukeuniversity,us-stanforduniversity,us","dukeuniversity,us-stanforduniversity,us	stanforduniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,
41,"seoulnationaluniversity,kr-nationalhorticulturalresearchinstitute,ng	nationalhorticulturalresearchinstitute,ng-universityofcalifornia,us","nationalhorticulturalresearchinstitute,ng-universityofcalifornia,us	universityofcalifornia,us-myongjiuniversity,kr",,,,
42,"universityofoxford,uk-universityofmassachusettsamherst,us	universityofmassachusettsamherst,us-myongjiuniversity,kr",,,,,
