,0,1,2,3,4,5
0,"universityofauckland,nz-frenchalternativeenergiesandatomicenergycommission,fr	frenchalternativeenergiesandatomicenergycommission,fr-hanyanguniversity,kr",,,,,
1,"seoulnationaluniversity,kr-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-hanyanguniversity,kr",,,,,
2,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofillinoisaturbana-champaign,us","seoulnationaluniversity,kr-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-hanyanguniversity,kr",,,,
3,"universityofmassachusettsamherst,us-universityofmassachusettsamherst,us	universityofmassachusettsamherst,us-hanyanguniversity,kr",,,,,
4,"universityofcalifornia,us-carnegiemellonuniversity,us	carnegiemellonuniversity,us-hanyanguniversity,kr",,,,,
5,"seoulnationaluniversity,kr-georgiainstituteoftechnology,us	georgiainstituteoftechnology,us-universityofpennsylvania,us","georgiainstituteoftechnology,us-universityofpennsylvania,us	universityofpennsylvania,us-hanyanguniversity,kr",,,,
6,"hanyanguniversity,kr-stanforduniversity,us	stanforduniversity,us-hanyanguniversity,kr",,,,,
7,"inhauniversity,kr-kyonggiuniversity,kr	kyonggiuniversity,kr-catholicuniversityofpusan,kr",,,,,
8,"koreauniversity,kr-electronicsandtelecommunicationsresearchinstitute,kr	electronicsandtelecommunicationsresearchinstitute,kr-koreauniversity,kr","electronicsandtelecommunicationsresearchinstitute,kr-koreauniversity,kr	koreauniversity,kr-catholicuniversityofpusan,kr",,,,
9,"yonseiuniversity,kr-theuniversityofwesternontario,ca	theuniversityofwesternontario,ca-jejunationaluniversity,kr",,,,,
10,"pennsylvaniastateuniversity,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-hanshinuniversity,kr",,,,,
11,"koreauniversity,kr-koreauniversity,kr	koreauniversity,kr-koreauniversity,kr","koreauniversity,kr-koreauniversity,kr	koreauniversity,kr-hanshinuniversity,kr",,,,
12,"gwangjuinstituteofscienceandtechnology,kr-gwangjuinstituteofscienceandtechnology,kr	gwangjuinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr","gwangjuinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-hanshinuniversity,kr",,,,
13,"mokwonuniversity,kr-chosununiversity,kr	chosununiversity,kr-mokwonuniversity,kr",,,,,
14,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-thecatholicuniversityofkorea,kr",,,,,
15,"koreaadvancedinstituteofscienceandtechnology,kr-koreauniversityoftechnologyandeducation,kr	koreauniversityoftechnologyandeducation,kr-koreauniversityoftechnologyandeducation,kr",,,,,
16,"universityofnewsouthwales,au-koreauniversityoftechnologyandeducation,kr	koreauniversityoftechnologyandeducation,kr-koreauniversityoftechnologyandeducation,kr","koreauniversityoftechnologyandeducation,kr-koreauniversityoftechnologyandeducation,kr	koreauniversityoftechnologyandeducation,kr-koreauniversityoftechnologyandeducation,kr",,,,
17,"sungkyunkwanuniversity,kr-universityofwashington,us	universityofwashington,us-koreauniversityoftechnologyandeducation,kr",,,,,
18,"universityofcalifornia,us-internationalcomputerscienceinstitute,us	internationalcomputerscienceinstitute,us-seoulnationaluniversity,kr",,,,,
19,"universityofcalifornia,us-universityofcalifornia,us	universityofcalifornia,us-seoulnationaluniversity,kr",,,,,
20,"universityofcambridge,uk-parisdiderotuniversity,fr	parisdiderotuniversity,fr-maxplanckinstitute,de","parisdiderotuniversity,fr-maxplanckinstitute,de	maxplanckinstitute,de-microsoftresearch,uk","maxplanckinstitute,de-microsoftresearch,uk	microsoftresearch,uk-seoulnationaluniversity,kr",,,
21,"carnegiemellonuniversity,us-carnegiemellonuniversity,us	carnegiemellonuniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
22,"carnegiemellonuniversity,us-disneyresearch,us	disneyresearch,us-seoulnationaluniversity,kr",,,,,
23,"theuniversityoftexasataustin,us-theuniversityoftexasataustin,us	theuniversityoftexasataustin,us-georgiainstituteoftechnology,us",,,,,
24,"['massachusettsinstituteoftechnology,us']-dukeuniversity,us	dukeuniversity,us-seoulnationaluniversity,kr",,,,,
25,"seoulnationaluniversity,kr-soongsiluniversity,kr	soongsiluniversity,kr-universityofcalifornia,us","soongsiluniversity,kr-universityofcalifornia,us	universityofcalifornia,us-cityuniversityofnewyork,us","universityofcalifornia,us-cityuniversityofnewyork,us	cityuniversityofnewyork,us-seoulnationaluniversity,kr",,,
26,"seoulnationaluniversity,kr-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-theohiostateuniversity,us",,,,,
27,"massachusettsinstituteoftechnology,us-princetonuniversity,us	princetonuniversity,us-sungkyunkwanuniversity,kr",,,,,
28,"pennsylvaniastateuniversity,us-universityofcalifornia,us	universityofcalifornia,us-seoulnationaluniversity,kr",,,,,
29,"universityofcalifornia,us-stanforduniversity,us	stanforduniversity,us-seoulnationaluniversity,kr",,,,,
30,"seoulnationaluniversity,kr-universityofcalifornia,us	universityofcalifornia,us-seoulnationaluniversity,kr",,,,,
31,"ewhawomansuniversity,kr-ewhawomansuniversity,kr	ewhawomansuniversity,kr-seoulventureuniversity,kr",,,,,
32,"yonseiuniversity,kr-yonseiuniversity,kr	yonseiuniversity,kr-hoseouniversity,kr",,,,,
33,"universityofsoutherncalifornia,us-universityofsoutherncalifornia,us	universityofsoutherncalifornia,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
34,"universityofflorida,us-arizonastateuniversity,us	arizonastateuniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
35,"koreaadvancedinstituteofscienceandtechnology,kr-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-daegugyeongbukinstituteofscience&technology,kr",,,,,
36,"universityoftheartslondon,uk-yaleuniversity,us	yaleuniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
37,"pennsylvaniastateuniversity,us-pennsylvaniastateuniversity,us	pennsylvaniastateuniversity,us-universityofsouthflorida,us",,,,,
38,"koreaadvancedinstituteofscienceandtechnology,kr-harvarduniversity,us	harvarduniversity,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
39,"georgiainstituteoftechnology,us-massachusettsinstituteoftechnology,us	massachusettsinstituteoftechnology,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
40,"universityofpennsylvania,us-malardalenuniversity,se	malardalenuniversity,se-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
41,"universityofillinoisaturbana-champaign,us-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-seoulnationaluniversity,kr","koreaadvancedinstituteofscienceandtechnology,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofoxford,uk",,,,
42,"king'scollegelondon,uk-king'scollegelondon,uk	king'scollegelondon,uk-universitycollegelondon,uk","king'scollegelondon,uk-universitycollegelondon,uk	universitycollegelondon,uk-koreaadvancedinstituteofscienceandtechnology,kr",,,,
43,"universityofnorthcarolinaatchapelhill,us-lawrencelivermorenationallab,us	lawrencelivermorenationallab,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
44,"universityofcalifornia,us-universityofcalifornia,us	universityofcalifornia,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
45,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-universityofillinoisaturbana-champaign,us","koreaadvancedinstituteofscienceandtechnology,kr-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-ibm,us","universityofillinoisaturbana-champaign,us-ibm,us	ibm,us-koreaadvancedinstituteofscienceandtechnology,kr",,,
46,"massachusettsinstituteoftechnology,us-massachusettsinstituteoftechnology,us	massachusettsinstituteoftechnology,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
47,"paderbornuniversity,de-paderbornuniversity,de	paderbornuniversity,de-darmstadtuniversityoftechnology,de",,,,,
48,"koreaadvancedinstituteofscienceandtechnology,kr-maxplanckinstituteforsoftwaresystems,de	maxplanckinstituteforsoftwaresystems,de-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
49,"theuniversityoftexasataustin,us-simonslaufermathematicalsciencesinstitute,us	simonslaufermathematicalsciencesinstitute,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
50,"impericalcollegelondon,uk-impericalcollegelondon,uk	impericalcollegelondon,uk-koreaaerospaceuniversity,kr",,,,,
51,"seoulnationaluniversity,kr-universityofpennsylvania,us	universityofpennsylvania,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
52,"pohanguniversityofscienceandtechnology,kr-universityofmichigan,us	universityofmichigan,us-koreaadvancedinstituteofscienceandtechnology,kr",,,,,
