,0,1,2,3,4,5
0,"seoulnationaluniversity,kr-laboratoryofhertzianspectroscopy,fr	laboratoryofhertzianspectroscopy,fr-myongjiuniversity,kr",,,,,
1,"seoulnationaluniversity,kr-northcarolinastateuniversity,us	northcarolinastateuniversity,us-dukeuniversity,us","northcarolinastateuniversity,us-dukeuniversity,us	dukeuniversity,us-koreainstituteforadvancedstudy,kr","dukeuniversity,us-koreainstituteforadvancedstudy,kr	koreainstituteforadvancedstudy,kr-myongjiuniversity,kr",,,
2,"universityofcalifornia,us-argonnenationallaboratory,us	argonnenationallaboratory,us-californiainstituteoftechnology,us","argonnenationallaboratory,us-californiainstituteoftechnology,us	californiainstituteoftechnology,us-myongjiuniversity,kr",,,,
3,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-myongjiuniversity,kr",,,,,
4,"sungkyunkwanuniversity,kr-sungkyunkwanuniversity,kr	sungkyunkwanuniversity,kr-columbiauniversityinthecityofnewyork,us","sungkyunkwanuniversity,kr-columbiauniversityinthecityofnewyork,us	columbiauniversityinthecityofnewyork,us-sejonguniversity,kr",,,,
5,"northwesternuniversity,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-sejonguniversity,kr",,,,,
6,"columbiauniversityinthecityofnewyork,us-argonnenationallaboratory,us	argonnenationallaboratory,us-sejonguniversity,kr",,,,,
7,"pennsylvaniastateuniversity,us-princetonuniversity,us	princetonuniversity,us-sejonguniversity,kr",,,,,
8,"universityofflorida,us-universityofmaryland,us	universityofmaryland,us-maxplanckinstitutes,de","universityofmaryland,us-maxplanckinstitutes,de	maxplanckinstitutes,de-sejonguniversity,kr",,,,
9,"universityofcalifornia,us-universityofcalifornia,us	universityofcalifornia,us-sejonguniversity,kr",,,,,
10,"chonnamnationaluniversity,kr-universityofwindsor,ca	universityofwindsor,ca-sunchonnationaluniversity,kr",,,,,
11,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-tohokuuniversity,jp","seoulnationaluniversity,kr-tohokuuniversity,jp	tohokuuniversity,jp-universityofillinoisaturbana-champaign,us","tohokuuniversity,jp-universityofillinoisaturbana-champaign,us	universityofillinoisaturbana-champaign,us-soongsiluniversity,kr",,,
12,"seoulnationaluniversity,kr-universityofnotredame,us	universityofnotredame,us-koreauniversity,kr",,,,,
13,"koreaadvancedinstituteofscienceandtechnology,kr-koreaadvancedinstituteofscienceandtechnology,kr	koreaadvancedinstituteofscienceandtechnology,kr-fominstituteamolf,nl","koreaadvancedinstituteofscienceandtechnology,kr-fominstituteamolf,nl	fominstituteamolf,nl-kavliinstituteofnanosciencedelft,nl","fominstituteamolf,nl-kavliinstituteofnanosciencedelft,nl	kavliinstituteofnanosciencedelft,nl-koreauniversity,kr",,,
14,"brandeisuniversity,us-brandeisuniversity,us	brandeisuniversity,us-universityofmaryland,us","brandeisuniversity,us-universityofmaryland,us	universityofmaryland,us-universityofcambridge,uk","universityofmaryland,us-universityofcambridge,uk	universityofcambridge,uk-kyungheeuniversity,kr",,,
15,"koreaadvancedinstituteofscienceandtechnology,kr-harvarduniversity,us	harvarduniversity,us-koreauniversity,kr",,,,,
16,"kyotouniversity,jp-osakauniversity,jp	osakauniversity,jp-pusannationaluniversity,kr",,,,,
17,"universityofcalifornia,us-universityofmaryland,us	universityofmaryland,us-koreauniversity,kr",,,,,
18,"universityofrochester,us-seoulnationaluniversity,kr	seoulnationaluniversity,kr-kek,jp","seoulnationaluniversity,kr-kek,jp	kek,jp-seoulnationaluniversity,kr","kek,jp-seoulnationaluniversity,kr	seoulnationaluniversity,kr-harvarduniversity,us","seoulnationaluniversity,kr-harvarduniversity,us	harvarduniversity,us-koreauniversity,kr",,
19,"universityofcalifornia,us-universityofcalifornia,us	universityofcalifornia,us-koreauniversity,kr",,,,,
20,"koreaadvancedinstituteofscienceandtechnology,kr-jila,us	jila,us-koreauniversity,kr",,,,,
21,"theuniversityoftexasataustin,us-princetonuniversity,us	princetonuniversity,us-koreauniversity,kr",,,,,
22,"theohiostateuniversity,us-yaleuniversity,us	yaleuniversity,us-universityofcalifornia,us","yaleuniversity,us-universityofcalifornia,us	universityofcalifornia,us-koreauniversity,kr",,,,
23,"universityofnotredame,us-universityofnotredame,us	universityofnotredame,us-koreauniversity,kr",,,,,
24,"cornelluniversity,us-stonybrookuniversity,us	stonybrookuniversity,us-weizmanninstituteofscience,il","stonybrookuniversity,us-weizmanninstituteofscience,il	weizmanninstituteofscience,il-koreaadvancedinstituteofscienceandtechnology,kr",,,,
25,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-theohiostateuniversity,us","seoulnationaluniversity,kr-theohiostateuniversity,us	theohiostateuniversity,us-koreauniversity,kr",,,,
26,"universityofpennsylvania,us-nationalinstituteofstandardsandtechnology,us	nationalinstituteofstandardsandtechnology,us-koreauniversity,kr",,,,,
27,"yaleuniversity,us-yaleuniversity,us	yaleuniversity,us-jointinstituteforlaboratoryastrophysics,us","yaleuniversity,us-jointinstituteforlaboratoryastrophysics,us	jointinstituteforlaboratoryastrophysics,us-koreauniversity,kr",,,,
28,"theohiostateuniversity,us-theohiostateuniversity,us	theohiostateuniversity,us-koreauniversity,kr",,,,,
29,"harvarduniversity,us-kyotouniversity,jp	kyotouniversity,jp-theuniversityoftokyo,jp",,,,,
30,"pohanguniversityofscienceandtechnology,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-universityofbasel,ch","seoulnationaluniversity,kr-universityofbasel,ch	universityofbasel,ch-koreauniversity,kr",,,,
31,"seoulnationaluniversity,kr-universityofcalifornia,us	universityofcalifornia,us-sungkyunkwanuniversity,kr",,,,,
32,"seoulnationaluniversity,kr-seoulnationaluniversity,kr	seoulnationaluniversity,kr-massachusettsinstituteoftechnology,us","seoulnationaluniversity,kr-massachusettsinstituteoftechnology,us	massachusettsinstituteoftechnology,us-koreauniversity,kr",,,,
33,"harvarduniversity,us-universityofwashington,us	universityofwashington,us-koreauniversity,kr",,,,,
34,"universityofcalifornia,us-universityofcalifornia,us	universityofcalifornia,us-koreauniversity,kr",,,,,
